N,P,K,temperature,humidity,ph,rainfall,label,ndvi,elevation,slope
89,91,55,25.08347445,80.26173100000003,6.275572297999999,94.32961456,banana,0.666,23.52,3.96
60,41,70,28.72,86.26,6.395,240.72,durian,0.667,53.79,1.8
55,44,40,30.22,80.11,6.893,148.12,pomelo,0.743,159.49,10.22
99,35,55,29.89,87.66,6.856,180.79,durian,0.581,57.04,4.79
101,40,65,27.98,81.8,6.426,285.27,rubber,0.631,239.29,17.54
81,43,57,30.59,85.46,6.577,187.57,durian,0.776,209.82,13.81
81,46,58,29.33,83.65,6.642,230.3,cacao,0.789,411.92,11.23
94,46,65,30.15,66.73,6.429,90.44,papaya,0.66,56.21,2.87
10,59,22,28.60901145,86.99495766,7.1556850160000005,36.94616965,mungbean,0.453,36.65,1.97
21,72,17,31.52104732,66.55723677,7.580527339,61.71111448,blackgram,0.635,36.63,6.02
82,32,28,30.74,80.76,6.887,174.04,cassava,0.544,150.05,11.72
72,34,48,30.67,71.71,6.456,102.35,cassava,0.597,47.7,6.63
38,24,33,28.28905147,97.00396405,5.973853124,142.9403233,coconut,0.604,24.41,3.59
115,46,32,27.53,77.63,7.061,163.38,maize,0.581,89.28,9.45
9,66,21,30.11812084,34.13307843,5.719889876,157.0858232,pigeonpeas,0.336,100.17,0.47
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,mungbean,0.462,203.75,2.75
101,30,53,28.47,89.78,5.433,229.49,rubber,0.677,123.16,4.29
58,73,16,33.36984395,65.67718163,6.874142175,64.89517488,blackgram,0.527,228.94,0.19
20,40,15,29.57329479,88.07505524,7.199495367999999,45.04467075,mungbean,0.304,101.57,3.58
110,43,64,25.9,81.77,6.324,172.7,cacao,0.776,92.77,3.33
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram,0.416,32.05,2.59
56,58,42,26.17,86.19,5.517,93.04,rice,0.595,43.19,3.0
79,56,47,30.27,85.01,5.516,242.97,rice,0.484,28.74,4.75
40,65,49,35.32876402,91.06138506,6.678449317999999,163.9069365,papaya,0.588,44.76,6.88
43,37,75,31.67,72.12,6.885,151.78,coconut,0.795,86.4,6.03
25,65,21,33.86351172,68.59232289,6.880245789,69.24464096,blackgram,0.462,184.05,3.07
104,39,55,24.12,84.88,6.615,162.1,pomelo,0.765,38.97,2.27
61,45,48,28.56,77.67,5.395,269.09,rubber,0.755,109.68,15.4
0,26,31,25.0707247,95.02156793,5.547933273,192.9036306,coconut,0.571,81.29,3.0
60,37,63,30.62,73.37,6.502,148.03,coconut,0.602,93.61,6.17
32,31,48,31.42,76.21,6.095,85.86,cassava,0.4,209.57,8.77
35,26,55,28.6,74.25,7.006,122.37,pomelo,0.478,11.06,6.43
67,61,54,27.56,78.37,5.893,216.31,banana,0.651,162.19,6.21
13,73,20,30.50420876,35.48885969,5.391560417999999,162.59277230000004,pigeonpeas,0.533,338.52,8.7
40,38,45,24.25,78.03,6.602,160.53,pomelo,0.75,41.97,0.12
50,29,59,24.38,63.34,6.913,174.99,sweet potato,0.663,277.27,7.07
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram,0.631,3.62,4.81
31,28,58,29.3,73.59,5.644,130.2,sweet potato,0.704,298.66,10.23
35,32,40,29.08,65.47,6.062,218.63,pomelo,0.569,205.12,4.51
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize,0.716,188.94,6.68
87,39,65,27.79,88.68,4.817,202.18,rubber,0.611,357.85,7.12
5,55,18,33.50876355,45.70976142,7.322097972000001,126.6738117,pigeonpeas,0.533,177.03,10.1
91,41,54,28.45,86.83,6.599,318.83,abaca,0.626,335.96,13.11
104,32,63,28.39,88.42,6.446,255.3,rubber,0.875,278.29,9.08
104,37,51,29.5,77.4,6.946,202.0,coconut,0.518,98.51,3.43
58,50,45,29.86,58.2,6.618,169.92,maize,0.369,244.29,4.88
90,61,31,26.15,68.58,7.082,114.35,watermelon,0.364,114.88,1.84
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram,0.477,225.67,2.07
36,26,64,30.94,73.34,7.325,103.26,mango,0.417,79.73,5.19
59,40,52,24.32,84.65,5.939,222.63,abaca,0.855,317.83,13.77
27,60,17,26.41768321,63.64698302,7.026795358999999,64.42177127,blackgram,0.589,144.04,9.89
89,62,52,32.12,77.44,6.78,171.09,papaya,0.727,176.52,9.67
19,30,30,29.56549169,91.40896307,5.826381164,224.83157290000003,coconut,0.784,53.6,7.2
111,50,46,26.79,91.52,5.658,193.72,abaca,0.592,148.55,11.12
66,40,54,25.69,78.24,6.328,264.01,rubber,0.589,59.24,10.26
68,66,59,30.07,74.01,6.291,112.16,banana,0.652,71.46,6.41
98,68,68,31.14,85.3,5.518,107.26,banana,0.664,52.39,1.98
120,20,45,25.66576039,88.6984228,6.114128685,54.22722466,watermelon,0.59,99.88,2.29
99,20,37,30.43,72.39,5.824,110.99,cassava,0.665,172.04,11.83
86,95,49,28.05484146,78.04602887,6.458714879,108.3957179,banana,0.605,250.89,8.93
29,67,21,29.79181107,63.38789228,6.621323612,63.02169909,blackgram,0.309,70.62,7.54
35,58,20,29.38538562,63.47742011,5.761702519,90.05422663,pigeonpeas,0.644,37.63,11.17
102,34,52,29.03,85.86,5.797,192.88,cacao,0.688,102.56,5.82
82,20,53,31.87,75.97,6.164,139.11,sweet potato,0.603,30.47,4.6
86,40,46,25.31,72.69,5.531,178.2,rubber,0.817,261.83,2.46
58,36,62,28.23,87.92,6.279,217.69,durian,0.656,149.62,10.04
37,49,25,29.914544300000006,85.85384444,6.415459592,41.39081525,mungbean,0.636,108.25,6.91
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,0.659,17.16,3.37
24,27,34,28.87862994,95.11320315,6.203376525,145.0583117,coconut,0.847,51.54,0.03
31,58,15,27.11026483,84.96771717,7.121571293,51.52617423,mungbean,0.57,247.76,4.75
71,51,57,29.94,60.77,6.028,72.86,watermelon,0.329,79.01,6.72
109,10,53,26.81938687,87.8274604,6.5517503060000015,46.06193778,watermelon,0.481,86.12,1.6
49,30,69,27.73,81.79,5.898,223.74,coconut,0.635,52.62,4.89
41,35,64,26.89,78.12,6.131,95.77,papaya,0.581,147.86,9.16
30,18,65,28.93,62.2,6.664,155.06,sweet potato,0.429,112.43,0.11
93,49,60,32.34,73.14,6.814,113.11,papaya,0.45,75.95,7.38
29,45,16,28.43683487,87.91332682,6.583381939,43.12063289,mungbean,0.436,173.4,3.24
75,25,55,26.07,62.43,7.344,155.11,cassava,0.556,192.3,5.15
80,20,38,26.48,67.29,6.038,181.47,sweet potato,0.563,221.46,6.86
24,73,20,19.63736208,32.31528909,4.608695247,176.4134092,pigeonpeas,0.508,237.27,11.75
0,21,32,35.89855625,54.25964196,6.430139436,92.19721736,mango,0.556,205.18,1.03
110,42,40,24.87,85.66,5.71,267.6,abaca,0.734,230.73,10.82
10,24,27,27.57283516,94.90485697,5.7084096010000005,145.9298935,coconut,0.848,113.3,5.78
45,41,49,28.74,88.53,5.608,286.94,abaca,0.724,368.37,10.84
82,42,42,24.75,84.0,5.964,160.76,pomelo,0.76,58.18,0.42
37,10,32,28.96318258,95.16333673,6.165084855,222.803013,coconut,0.646,79.06,1.38
42,56,43,32.32,55.11,6.849,39.89,watermelon,0.633,105.41,2.56
40,58,15,29.46416042,87.60890009,6.978400282000001,43.15411472,mungbean,0.593,119.02,0.07
52,36,53,27.05,86.56,5.9,228.06,abaca,0.819,286.91,10.72
10,59,22,28.60901145,86.99495766,7.1556850160000005,36.94616965,mungbean,0.585,79.46,5.01
89,53,56,33.45,76.72,7.277,66.37,mango,0.688,151.87,4.57
90,69,56,27.33,89.95,6.905,211.86,rice,0.53,2.81,1.31
81,35,61,26.27,82.14,6.712,184.1,pomelo,0.546,114.32,4.95
11,46,24,27.65280218,89.80650642,6.459252023,56.52558045,mungbean,0.325,90.07,1.61
120,24,47,26.98603693,89.4138489,6.260838965,58.54876687,watermelon,0.33,50.17,7.72
99,25,57,30.53,80.11,6.985,121.52,pomelo,0.726,102.05,3.15
46,34,47,26.49,71.89,6.709,106.16,sweet potato,0.458,203.85,4.42
39,70,52,26.26559543,90.79668055,6.65149129,59.49373381,papaya,0.681,64.89,2.04
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize,0.454,175.18,2.3
95,74,50,25.90113128,80.47152737,6.002481605,110.10323,banana,0.78,178.37,0.32
102,35,51,31.76,80.82,7.071,207.57,coconut,0.722,9.6,2.88
51,25,64,28.9,81.65,6.243,161.06,coconut,0.522,67.43,2.52
29,35,28,28.347161100000005,53.53903102,6.9674177660000005,90.40260445,mango,0.408,50.5,3.96
31,41,54,27.97,56.55,6.609,86.98,mango,0.636,239.28,8.29
71,31,47,25.74,76.44,5.827,137.57,pomelo,0.526,62.46,6.43
72,34,48,30.67,71.71,6.456,102.35,cassava,0.597,47.7,6.63
87,31,43,28.91,73.69,6.427,193.62,pomelo,0.508,84.65,2.69
48,36,42,28.29,84.88,5.601,35.43,maize,0.606,74.61,2.88
79,36,46,27.04,86.61,6.583,249.13,cacao,0.837,78.74,2.44
122,61,69,31.28,85.41,5.599,204.38,banana,0.838,32.7,0.41
52,34,48,26.07,75.1,5.925,165.76,cassava,0.371,53.87,11.98
110,43,64,25.9,81.77,6.324,172.7,cacao,0.776,92.77,3.33
57,28,64,28.0,84.74,7.039,139.12,pomelo,0.689,53.58,9.39
92,28,49,25.3,80.88,5.303,212.4,rubber,0.868,123.08,6.98
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,0.509,242.56,0.29
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram,0.336,106.93,4.99
27,71,24,31.46417866,48.17631461,7.064973419,165.40535400000005,pigeonpeas,0.399,198.13,6.07
114,51,47,31.09,80.94,6.534,103.42,maize,0.414,15.78,1.41
27,40,24,27.84026517,89.99615558,7.063022095,52.84626009,mungbean,0.331,175.65,0.53
69,72,62,26.49,88.9,5.509,185.85,banana,0.788,70.37,0.4
91,7,53,25.13735887,89.28272716,6.457216535,43.52897517,watermelon,0.64,92.05,1.92
52,31,47,30.36,86.98,6.769,219.92,durian,0.638,344.37,4.56
0,70,21,36.30049702,56.03021253,4.672437054,101.6073988,pigeonpeas,0.438,108.87,9.99
63,39,53,26.65,78.78,6.573,175.11,cacao,0.853,438.9,8.5
105,95,50,27.33368994,83.67675197,5.849076099,101.0494791,banana,0.865,240.32,4.63
112,40,70,30.72,84.4,6.764,208.48,durian,0.604,160.44,8.14
71,35,63,26.03,86.76,5.37,182.41,rubber,0.815,231.83,9.88
23,70,15,34.600824700000004,63.11296779,7.403623355,60.41790253,blackgram,0.64,27.54,4.35
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram,0.618,142.25,6.99
69,34,51,29.58,72.93,6.031,204.88,pomelo,0.515,230.19,5.3
42,25,35,30.15,79.72,5.925,100.06,mango,0.367,49.81,10.89
69,41,49,25.2,87.55,6.368,299.07,abaca,0.787,280.75,12.8
27,40,24,27.84026517,89.99615558,7.063022095,52.84626009,mungbean,0.459,68.33,7.15
22,16,27,29.1797902,90.27214288,6.006784979,188.9252083,coconut,0.762,73.89,6.1
30,21,46,29.75,74.07,6.491,81.79,cassava,0.467,45.97,8.16
100,41,53,28.72,84.02,6.285,307.34,abaca,0.582,379.95,17.23
71,35,56,25.23,70.29,6.442,144.72,sweet potato,0.436,103.15,8.6
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,0.411,58.41,9.97
88,55,33,32.62,83.28,6.835,168.83,maize,0.568,240.69,0.91
30,28,65,31.32,76.84,6.106,176.24,sweet potato,0.417,163.27,13.31
72,35,40,29.26,78.7,6.888,135.65,papaya,0.628,145.06,4.99
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,0.485,61.78,1.16
88,43,57,27.57,79.08,6.288,170.76,cacao,0.869,372.05,13.03
50,60,47,32.57720726,92.74889453,6.92791761,93.7942847,papaya,0.757,45.51,0.66
14,74,19,18.39759147,36.82639309,6.624966131,93.12330644,pigeonpeas,0.311,311.64,4.56
40,63,18,30.41588462,67.66323804,6.74441168,63.02473185,blackgram,0.64,215.39,8.55
83,43,62,28.31,75.72,5.379,247.59,rubber,0.857,418.15,6.61
106,34,65,25.97,66.07,6.833,118.14,pomelo,0.517,23.22,0.76
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize,0.619,93.79,0.94
115,46,46,30.37,82.55,6.214,248.3,durian,0.635,205.69,2.3
46,34,47,26.49,71.89,6.709,106.16,sweet potato,0.458,203.85,4.42
39,60,21,34.89814946,63.59948557,6.97297656,64.72797143,blackgram,0.447,96.46,5.76
36,57,55,29.19,62.47,6.672,43.83,watermelon,0.517,41.3,0.14
66,31,46,27.96,83.14,4.912,261.66,rubber,0.743,260.31,6.67
65,37,46,26.24,88.76,6.029,188.95,abaca,0.601,122.68,16.05
92,40,57,24.47,84.87,6.848,127.85,pomelo,0.454,42.82,10.06
71,57,30,33.75,58.19,6.277,65.33,watermelon,0.326,22.84,0.36
34,62,55,27.58548913,90.72526502,6.585346229,238.5008779,papaya,0.499,140.3,7.01
69,67,59,26.49,85.05,6.298,91.99,rice,0.535,48.86,2.16
64,27,54,31.85,83.48,6.501,237.77,coconut,0.486,36.37,5.11
80,38,41,25.18,81.98,5.75,231.23,abaca,0.644,160.77,3.82
60,26,53,28.45,75.18,5.807,240.22,rubber,0.728,255.37,4.62
56,41,63,26.64,57.45,7.087,148.94,mango,0.637,201.39,11.89
55,28,61,30.47,72.43,5.982,161.48,coconut,0.749,29.56,0.51
5,77,19,31.08564994,66.68832981,6.242052013,175.9303271,pigeonpeas,0.553,31.63,5.78
56,65,45,38.2016825,93.97379963,6.751298936,218.09088140000003,papaya,0.647,16.18,2.55
76,63,42,29.8,91.51,6.699,228.52,rice,0.519,21.21,3.17
75,40,51,27.08,77.77,6.786,123.57,coconut,0.454,9.01,4.29
51,25,52,30.36,88.9,6.127,289.76,rubber,0.672,149.08,8.15
33,37,19,27.92678579,86.5543196,7.183189922,43.4826194,mungbean,0.549,34.08,3.26
91,44,39,32.48,77.5,6.011,176.65,papaya,0.464,161.47,6.8
25,64,20,33.15122581,32.45974539,4.807776748999999,105.03802749999998,pigeonpeas,0.446,196.87,0.86
109,34,49,27.2,80.95,6.599,257.62,durian,0.761,232.44,5.36
105,49,62,28.99,81.61,7.066,177.23,papaya,0.628,128.63,3.94
1,76,19,24.18553163,46.68746847,6.6695294160000005,177.3377996,pigeonpeas,0.323,52.15,3.51
111,56,50,28.39,84.49,6.219,102.44,banana,0.663,56.87,7.29
88,43,57,27.57,79.08,6.288,170.76,cacao,0.869,372.05,13.03
35,67,49,41.31330062,91.1508798,6.617066674,239.7427554,papaya,0.56,55.52,0.44
106,34,56,28.27,80.52,5.891,226.8,durian,0.731,82.38,7.1
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,mungbean,0.41,161.73,7.26
87,61,46,26.2,70.31,7.053,100.11,watermelon,0.445,54.23,5.9
51,28,60,29.58,79.2,6.591,166.6,pomelo,0.479,163.96,10.93
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas,0.303,5.47,10.78
105,38,30,25.36,61.76,5.927,149.83,maize,0.574,130.85,1.38
75,45,43,28.64,73.34,6.824,51.57,watermelon,0.383,86.29,2.36
65,60,22,25.36768364,72.52054555,6.6069840860000015,107.9124111,maize,0.354,49.16,7.6
2,40,27,29.73770045,47.54885174,5.954626604,90.09586854,mango,0.482,232.48,7.88
80,47,42,24.71,89.16,5.73,317.38,abaca,0.687,366.84,8.14
50,27,65,31.93,61.63,7.316,67.14,mango,0.684,22.89,0.67
102,49,61,27.25,86.58,6.224,262.57,cacao,0.86,132.9,8.12
68,26,60,25.44,76.43,6.149,117.52,mango,0.41,65.63,4.34
80,36,35,24.65,94.15,6.851,193.96,rice,0.575,31.43,3.63
74,48,58,27.56,75.74,6.993,255.22,durian,0.795,247.16,4.83
40,39,45,28.38,78.48,5.623,160.81,cacao,0.643,81.05,15.94
61,56,55,25.76,59.22,6.558,140.48,maize,0.581,36.74,9.73
88,38,64,26.79,80.96,5.81,159.09,durian,0.587,81.19,7.66
83,10,53,24.92994759,85.00802358,6.195142279,48.75859458,watermelon,0.555,99.54,3.78
58,40,56,28.12,79.17,6.107,163.24,durian,0.579,269.96,3.91
41,28,40,28.34,65.76,6.236,155.51,pomelo,0.632,74.02,3.45
71,39,49,28.15,79.95,5.973,251.23,durian,0.678,348.2,6.46
58,38,43,29.23,67.5,6.443,166.64,papaya,0.46,11.38,0.67
93,37,48,27.42,66.79,6.381,120.39,pomelo,0.513,1.79,2.18
72,45,58,30.49,73.33,6.087,142.74,coconut,0.496,37.32,7.09
98,38,44,25.68,83.6,6.553,139.61,sweet potato,0.509,286.31,2.88
50,55,16,28.81460716,65.33538112,7.581442888,62.26242533,blackgram,0.518,76.39,1.56
34,6,27,25.84726298,90.92669463,5.8607404810000014,147.8888994,coconut,0.546,5.44,0.06
48,62,15,25.36586097,66.6379724,7.538631462000001,65.81655892,blackgram,0.511,146.51,3.44
65,32,31,25.38,61.71,7.127,112.36,maize,0.723,143.79,5.75
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,0.609,59.6,9.02
99,51,52,27.42,87.13,5.695,228.62,cacao,0.671,152.63,2.16
66,39,49,29.18,81.54,6.352,190.09,durian,0.652,230.0,10.77
31,51,25,27.53592929,85.57019009999998,7.196774236,53.01899249,mungbean,0.483,240.04,9.6
85,22,53,25.96534238,89.77076659,6.849471704,59.46338556,watermelon,0.482,103.04,3.45
112,41,39,28.67,81.57,6.557,251.11,abaca,0.79,194.96,10.72
16,70,20,24.80467592,40.1242747,5.6093956,121.5639121,pigeonpeas,0.429,340.94,4.38
47,40,48,26.35,85.46,6.759,171.39,cacao,0.709,232.97,10.08
41,28,40,28.34,65.76,6.236,155.51,pomelo,0.632,74.02,3.45
84,30,37,26.46,73.42,6.952,111.45,cassava,0.64,150.85,4.67
105,77,52,29.16226551,76.16151562,5.816622478999999,100.0075679,banana,0.593,255.43,4.46
55,66,22,30.91219459,68.79427388,7.747775262999999,66.63830637,blackgram,0.435,120.76,4.28
67,47,52,30.57,92.38,6.997,143.13,rice,0.734,36.17,2.4
87,40,66,29.37,86.84,6.199,205.35,durian,0.554,22.3,4.12
26,36,35,25.71,72.99,6.391,159.48,mango,0.471,59.68,6.81
74,48,58,27.56,75.74,6.993,255.22,durian,0.795,247.16,4.83
3,60,19,25.74679443,40.7192594,4.820788186000001,100.7791633,pigeonpeas,0.421,234.35,7.51
8,45,18,27.93034941,85.42058715,7.011030515,43.25095608,mungbean,0.507,203.03,7.34
57,67,25,32.34744009,66.61452812,7.551364319,64.55882254,blackgram,0.6,144.54,7.85
58,71,15,27.82592799,67.58618829999999,6.919243702,74.01229707,blackgram,0.431,15.37,6.5
53,65,38,32.32,62.14,5.888,42.1,watermelon,0.388,26.7,6.19
112,40,70,30.72,84.4,6.764,208.48,durian,0.604,160.44,8.14
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,pigeonpeas,0.548,164.66,5.25
81,40,44,26.94,90.08,5.621,186.86,abaca,0.74,383.21,7.9
8,59,18,29.50523036,35.72032498,6.216814453,187.8961851,pigeonpeas,0.584,45.7,11.4
42,53,48,23.11407669,94.31994776,6.758479569,231.5153161,papaya,0.524,142.97,7.11
112,48,56,28.05,83.01,6.45,222.62,cacao,0.621,136.41,13.76
52,65,20,32.81705216,66.15665137,6.814301033,68.83924882,blackgram,0.616,170.16,4.27
69,33,54,25.66,84.0,5.709,200.88,cacao,0.691,314.21,2.93
75,46,34,27.81,68.91,6.781,91.41,watermelon,0.622,94.2,7.03
76,33,33,28.42,67.27,5.681,136.27,cassava,0.518,26.14,7.35
108,43,49,24.8,82.08,5.92,196.73,abaca,0.644,119.37,15.33
86,26,46,25.84,65.87,5.984,96.76,sweet potato,0.362,181.54,8.67
66,66,70,28.85,72.91,6.054,194.85,banana,0.842,44.26,1.81
120,19,49,25.79448878,84.26830701,6.762471628999998,56.45229202,watermelon,0.325,148.94,3.57
30,28,65,31.32,76.84,6.106,176.24,sweet potato,0.417,163.27,13.31
63,43,44,28.99,83.16,5.935,310.29,abaca,0.587,337.77,13.88
95,42,45,32.21,63.37,6.323,109.02,watermelon,0.471,132.73,4.72
92,59,48,28.25,76.75,6.04,203.27,banana,0.847,115.26,6.86
51,50,50,28.19,81.5,5.937,197.02,cacao,0.606,312.16,11.78
40,59,23,36.89163721,62.73178224,5.269084669,163.7266551,pigeonpeas,0.616,220.08,9.82
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,0.511,64.01,2.2
48,57,54,29.02328049,90.20396783,6.617703177999999,126.8069869,papaya,0.568,53.66,5.16
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,0.674,27.2,1.46
65,36,51,29.75,82.72,6.152,122.48,pomelo,0.468,152.07,8.58
107,31,54,24.85,65.31,5.98,87.75,maize,0.669,92.98,5.42
86,20,49,31.29,67.07,5.575,171.78,cassava,0.399,137.94,3.29
69,37,56,28.32,87.78,6.679,235.46,durian,0.803,91.16,2.09
57,28,64,28.0,84.74,7.039,139.12,pomelo,0.689,53.58,9.39
56,54,62,27.08,80.2,6.243,86.19,rice,0.786,23.29,3.31
46,35,47,26.76,78.56,6.137,173.73,sweet potato,0.675,89.92,11.53
42,43,42,25.06,73.01,6.524,149.13,pomelo,0.556,171.6,2.59
39,21,42,29.35,78.49,7.267,96.04,cassava,0.469,83.81,0.5
57,48,45,29.07,88.68,6.475,166.27,rice,0.678,29.61,2.35
31,40,22,29.40889385,86.16063492,6.365513634,53.35486977,mungbean,0.617,229.26,8.39
95,30,69,30.11,78.05,6.871,178.23,coconut,0.505,77.79,1.38
93,37,67,30.21,77.92,5.885,248.35,durian,0.808,302.07,11.99
71,68,53,27.34,85.19,6.026,80.25,banana,0.835,55.01,3.46
78,37,45,24.14,85.39,5.956,310.15,abaca,0.615,321.42,3.79
56,32,40,25.84,75.95,5.619,175.52,rubber,0.719,217.58,14.47
39,37,15,28.9973145,83.78911515,6.821747052,59.84499208,mungbean,0.389,188.8,5.22
2,47,15,29.86860065,85.99127934,6.401455706,58.41394143,mungbean,0.567,163.82,5.53
10,37,22,28.7275267,89.12760359,7.069747813999999,58.52974279,mungbean,0.549,63.51,8.81
84,36,56,26.41,73.81,5.052,261.26,rubber,0.798,319.69,7.38
39,25,66,27.61,78.32,6.592,121.84,coconut,0.739,43.39,3.25
100,36,33,29.64,71.71,6.475,84.93,watermelon,0.349,137.2,7.43
108,94,47,27.35911627,84.54625006,6.387431382999999,90.81250457,banana,0.606,211.08,9.21
63,33,41,25.06,71.23,7.0,167.56,pomelo,0.512,25.71,5.17
52,36,33,30.65,64.47,6.596,88.34,maize,0.635,49.8,10.68
28,65,23,28.38686534,61.88871127,7.405176138,74.24459122,blackgram,0.468,221.69,8.24
21,80,20,28.20667264,68.27085245,7.350869792,64.32887142,blackgram,0.469,57.7,0.65
105,32,67,30.24,77.75,5.855,243.02,durian,0.814,290.81,2.66
111,35,56,24.08,89.34,6.136,201.03,cacao,0.859,60.98,10.14
65,36,51,29.75,82.72,6.152,122.48,pomelo,0.468,152.07,8.58
94,33,62,26.06,81.72,6.372,245.23,durian,0.559,232.48,10.92
38,37,45,26.15,88.4,4.833,254.95,rubber,0.695,319.06,11.42
80,37,54,24.42,90.36,6.177,189.63,abaca,0.734,234.35,16.17
98,37,39,28.25,81.07,5.598,250.8,rice,0.807,72.76,1.52
64,34,46,27.6,80.26,6.448,208.5,rubber,0.768,218.03,2.98
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,0.563,56.49,2.22
43,44,53,29.03,71.98,5.962,101.06,mango,0.727,108.98,11.82
58,73,16,33.36984395,65.67718163,6.874142175,64.89517488,blackgram,0.573,98.42,3.43
22,38,31,31.53356352,53.06009323,5.8211060360000015,98.57025046,mango,0.72,29.69,2.56
72,55,40,24.61,76.24,6.424,46.03,maize,0.533,121.17,1.99
76,44,54,27.98,81.06,5.665,167.02,cacao,0.686,120.95,4.44
66,35,44,30.22,76.21,6.675,162.59,pomelo,0.631,49.52,6.56
52,58,16,30.64095781,61.14508627,7.167435834,71.36947525,blackgram,0.551,190.87,9.09
53,55,55,33.32315744,91.25271223,6.709668804,234.496633,papaya,0.791,33.43,8.9
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,pigeonpeas,0.318,88.51,5.58
95,12,51,25.76484262,84.17269959999999,6.681606702000001,44.22066914,watermelon,0.313,117.44,1.08
104,62,64,29.48,89.02,6.227,198.95,rice,0.655,53.77,3.92
82,42,42,24.75,84.0,5.964,160.76,pomelo,0.76,58.18,0.42
56,39,51,27.68,87.52,5.611,182.01,cacao,0.812,59.89,13.44
78,32,41,31.95,71.8,7.004,94.01,cassava,0.472,97.39,6.14
101,70,48,25.36059237,75.03193255,6.012696655,116.5531455,banana,0.863,223.93,0.13
20,41,20,29.27308605,89.4875022,7.073048264,50.9246554,mungbean,0.614,63.55,4.38
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,0.49,75.28,0.2
90,39,38,30.62,65.98,6.627,155.96,mango,0.643,27.65,2.55
17,67,18,31.2192752,56.46868874,5.611510977000001,129.20286529999998,pigeonpeas,0.425,75.35,7.31
103,36,39,25.89,86.21,6.096,207.91,abaca,0.695,106.74,11.64
38,61,52,31.22790131,94.94021378,6.620729882000001,46.44279118,papaya,0.742,198.72,6.08
24,33,35,29.26382931,54.82257868,5.342866119,100.7586226,mango,0.401,184.47,10.79
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,0.549,31.4,0.95
44,75,22,30.0328403,64.14800537,7.574561547,71.21006868,blackgram,0.538,32.59,3.71
50,58,23,27.81326852,62.50460464,7.596802025,69.75555541,blackgram,0.644,80.13,8.6
60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,rice,0.745,15.5,2.37
118,66,60,28.28,80.39,6.489,93.17,banana,0.746,80.25,4.78
25,48,21,28.438097,83.48991368,6.267684328,52.55469976,mungbean,0.572,155.46,0.6
21,44,18,27.06909959,86.89934108,7.12851089,50.46746116,mungbean,0.42,89.21,1.11
22,56,17,29.87888063,87.32761241,6.89077995,44.75215854,mungbean,0.531,73.75,8.13
66,25,49,30.78,88.75,6.096,237.65,rubber,0.641,268.09,14.25
59,38,36,30.76,69.24,5.632,160.5,sweet potato,0.483,13.64,2.21
6,66,15,34.93174223,30.40046769,6.3458060110000005,159.2649827,pigeonpeas,0.34,265.0,8.92
77,42,55,27.49,81.62,6.652,254.57,durian,0.621,266.22,7.77
47,44,49,31.14,74.87,7.193,101.71,papaya,0.483,15.09,8.35
77,48,58,29.04,79.12,5.722,103.96,rice,0.704,76.0,3.75
68,27,47,25.96,77.23,6.2,102.44,cassava,0.473,161.33,6.56
9,57,24,29.89232778,89.71503316,7.165121108999998,42.99498978,mungbean,0.647,57.65,8.76
98,35,45,28.59,76.68,6.621,237.43,durian,0.583,196.06,2.32
56,45,53,27.41,83.27,5.587,215.76,cacao,0.83,326.54,13.65
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas,0.468,205.41,1.43
85,38,60,27.21,73.47,6.668,124.01,sweet potato,0.416,175.48,9.31
75,31,75,27.15,78.07,7.012,148.96,coconut,0.479,42.77,5.98
68,44,57,24.66,83.03,5.911,164.27,cacao,0.638,393.82,2.25
29,76,15,28.541723600000005,64.2020154,7.0256077060000015,69.68862306,blackgram,0.524,48.65,7.6
53,46,42,28.57,84.66,6.595,198.72,abaca,0.842,358.03,17.12
80,90,47,26.59743595,79.35898915,6.21084479,107.3944717,banana,0.857,215.87,6.55
